_id,No. de proceso,Tipo proceso,Despacho judicial actual,Jurisdicción,Valor pretensión
2101,2022-00092,Nulidad y Restablecimiento del Derecho,JUZGADO 021 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 1.686.113
2102,2022-00658,Acción Popular,TRIBUNAL ADMINISTRATIVO DEL VALLE,Administrativo,$ 0
2103,2022-00052,Nulidad y Restablecimiento del Derecho,JUZGADO 008 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 56.019.336
2104,2018-00220,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 230.656.348
2105,2022-00178,Nulidad y Restablecimiento del Derecho,JUZGADO 004 ADMINISTRATIVO ORAL DEL CIRCUITO JUDICIAL DE CALI,Administrativo,$ 571.200.000
2106,2022-00029,Nulidad y Restablecimiento del Derecho,JUZGADO 015 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 40.000.000
2107,2021-00188,Nulidad y Restablecimiento del Derecho,JUZGADO 015 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 3.688.585
2108,2022-00130,Reparacion Directa,JUZGADO 015 ADMINISTRATIVO DE CALI,Administrativo,$ 68.227.168
2109,2022-00072,Nulidad y Restablecimiento del Derecho,JUZGADO 020 ADMINISTRATIVO MIXTO DEL CIRCUITO DE CALI,Administrativo,$ 87.780.300
2110,2019-00244,Nulidad y Restablecimiento del Derecho,JUZGADO 009 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 0
2111,2022-00023,Reparacion Directa,JUZGADO 016 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 4.470.887.200
2112,2021-00249,Nulidad y Restablecimiento del Derecho,JUZGADO 009 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 45.426.300
2113,2020-00224,Nulidad y Restablecimiento del Derecho,JUZGADO 019 ADMINISTRATIVO DE CALI,Administrativo,$ 67.352.347
2114,2022-00065,Nulidad y Restablecimiento del Derecho,JUZGADO 013 ADMINISTRATIVO DE CALI,Administrativo,$ 168.456.784
2115,2021-00071,Nulidad y Restablecimiento del Derecho,JUZGADO 013 ADMINISTRATIVO DE CALI,Administrativo,$ 3.800.000
2116,2023-00386,Nulidad y Restablecimiento del Derecho,JUZGADO 019 LABORAL DEL CIRCUITO DE CALI,Administrativo,$ 141.506.842
2117,2021-00188,Nulidad Simple,JUZGADO 013 ADMINISTRATIVO DE CALI,Administrativo,$ 0
2118,2022-00004,Nulidad y Restablecimiento del Derecho,JUZGADO 015 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 409.463.629
2119,2022-00089,Nulidad y Restablecimiento del Derecho,JUZGADO 010 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 457.697
2120,2022-00109,Nulidad y Restablecimiento del Derecho,JUZGADO 010 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 1.351.943
2121,2021-00068,Reparacion Directa,JUZGADO 18 ADMINISTRATIVO DE CALI,Administrativo,$ 1.097.253.750
2122,2022-00186,Acción Popular,JUZGADO 013 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 0
2123,2021-00241,Reparacion Directa,JUZGADO 18 ADMINISTRATIVO DE CALI,Administrativo,$ 101.726.075
2124,2021-00212,Reparacion Directa,JUZGADO 18 ADMINISTRATIVO DE CALI,Administrativo,$ 148.715.039
2125,2021-00254,Nulidad y Restablecimiento del Derecho,JUZGADO 018 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 31.267.146
2126,2021-01137,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 606.667.941
2127,2022-00205,Acción Popular,JUZGADO 016 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 0
2128,2022-00169,Nulidad y Restablecimiento del Derecho,JUZGADO 021 ADMINISTRATIVO DE CALI,Administrativo,$ 3.906.210
2129,2022-00136,Acción Popular,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 0
2130,2022-00054,Nulidad y Restablecimiento del Derecho,JUZGADO 011 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 17.227.364
2131,2019-01193,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 0
2132,2022-00170,Nulidad y Restablecimiento del Derecho,JUZGADO 007 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 139.327.730
2133,2019-00321,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 3.357.420.000
2134,2022-00200,Ordinario Laboral,JUZGADO 004 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 150.000.000
2135,2022-00187,Acción Popular,JUZGADO 010 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 0
2136,2022-00204,Acción Popular,JUZGADO 003 ADMINISTRATIVO DE CALI,Administrativo,$ 0
2137,2022-00148,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 164.933.197
2138,2022-00167,Nulidad y Restablecimiento del Derecho,JUZGADO 015 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 10.246.386
2139,2022-00177,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 98.886.590
2140,2022-00096,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 1.686.113
2141,2022-00032,Nulidad y Restablecimiento del Derecho,JUZGADO 008 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 15.930.881
2142,2021-01097,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 93.462.400
2143,2022-00148,Nulidad y Restablecimiento del Derecho,JUZGADO 009 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 17.350.542
2144,2022-00349,Fuero Sindical,JUZGADO 3 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 35.660.381
2145,2022-00134,Nulidad y Restablecimiento del Derecho,JUZGADO 020 ADMINISTRATIVO MIXTO DEL CIRCUITO DE CALI,Administrativo,$ 4.725.545
2146,2022-00228,Nulidad y Restablecimiento del Derecho,JUZGADO 021 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 6.011.479
2147,2022-00225,Nulidad y Restablecimiento del Derecho,JUZGADO 021 ADMINISTRATIVO DE CALI,Administrativo,$ 119.570.784
2148,2021-00098,Nulidad y Restablecimiento del Derecho,JUZGADO 021 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 13.258.074
2149,2022-00105,Nulidad y Restablecimiento del Derecho,JUZGADO 011 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 3.906.210
2150,2022-00819,Acción Popular,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 0
2151,2022-00157,Nulidad y Restablecimiento del Derecho,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 7.851.686
2152,2021-00415,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 524.142.975
2153,2018-00163,Ordinario Laboral,JUZGADO 018 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 17.261.836
2154,2021-00120,Reparacion Directa,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 627.524.928
2155,2022-00162,Acción Popular,JUZGADO 2 ADMINISTRATIVO DE CALI,Administrativo,$ 0
2156,2022-00004,Reparacion Directa,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 1.258.051.072
2157,2021-00263,Reparacion Directa,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 100.255.750
2158,2022-00048,Nulidad y Restablecimiento del Derecho,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 1.558.337
2159,2022-00108,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 34.420.800
2160,2022-00065,Nulidad y Restablecimiento del Derecho,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 32.517.359.152
2161,2022-00242,Acción de Cumplimiento,JUZGADO 007 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 0
2162,2022-00238,Nulidad y Restablecimiento del Derecho,JUZGADO 001 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 14.171.580
2163,2022-00066,Nulidad y Restablecimiento del Derecho,JUZGADO 011 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 3.906.210
2164,2020-00834,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 73.868.257
2165,2021-01069,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 108.761.775
2166,2022-00323,Ordinario Laboral,JUZGADO 020 LABORAL DEL CIRCUITO JUDICIAL DE CALI,Laboral,$ 8.705.962
2167,2021-00171,Nulidad y Restablecimiento del Derecho,JUZGADO 013 ADMINISTRATIVO DE CALI,Administrativo,$ 197.506.467
2168,2022-00006,Reparacion Directa,JUZGADO 013 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 526.681.800
2169,2021-00239,Nulidad y Restablecimiento del Derecho,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 16.986.217
2170,2021-00293,Ordinario Laboral,TRIBUNAL SUPERIOR DE CALI SALA LABORAL,Laboral,$ 44.767.953
2171,2022-00206,Reparacion Directa,JUZGADO 006 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 184.338.630
2172,2022-00045,Nulidad y Restablecimiento del Derecho,JUZGADO 013 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 4.005.256
2173,2022-00217,Acción Popular,JUZGADO 012 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 0
2174,2022-00203,Nulidad y Restablecimiento del Derecho,JUZGADO 007 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 13.589.295
2175,2022-00207,Nulidad y Restablecimiento del Derecho,JUZGADO 007 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 92.780.300
2176,2019-00317,Ejecutivo,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 5.290.567
2177,2022-00561,Fuero Sindical,JUZGADO 013 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 9.990.000
2178,2022-00201,Nulidad y Restablecimiento del Derecho,JUZGADO 004 ADMINISTRATIVO ORAL DEL CIRCUITO JUDICIAL DE CALI,Administrativo,$ 95.993.019
2179,2021-00261,Reparacion Directa,JUZGADO 005 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 2.194.579.968
2180,2022-00139,Acción Popular,JUZGADO 020 ADMINISTRATIVO MIXTO DEL CIRCUITO DE CALI,Administrativo,$ 0
2181,2022-00166,Reparacion Directa,JUZGADO 016 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 357.613.300
2182,2022-00207,Reparacion Directa,JUZGADO 020 ADMINISTRATIVO MIXTO DEL CIRCUITO DE CALI,Administrativo,$ 395.011.350
2183,2022-00012,Reparacion Directa,JUZGADO 004 ADMINISTRATIVO ORAL DEL CIRCUITO JUDICIAL DE CALI,Administrativo,$ 454.263.000
2184,2022-00152,Nulidad y Restablecimiento del Derecho,JUZGADO 016 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 951.825
2185,2019-00578,Ordinario Laboral,JUZGADO 5 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 17.556.060
2186,2022-00110,Reparacion Directa,JUZGADO 016 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 424.511.350
2187,2022-00266,Acción Popular,JUZGADO 009 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 0
2188,2022-00209,Nulidad y Restablecimiento del Derecho,JUZGADO 010 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 20.705.932
2189,2021-01127,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 96.502.330
2190,2022-00090,Nulidad y Restablecimiento del Derecho,JUZGADO 004 ADMINISTRATIVO ORAL DEL CIRCUITO JUDICIAL DE CALI,Administrativo,$ 64.033.094
2191,2022-00181,Nulidad y Restablecimiento del Derecho,JUZGADO 004 ADMINISTRATIVO ORAL DEL CIRCUITO JUDICIAL DE CALI,Administrativo,$ 99.848.907
2192,2021-00543,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 7.223.375.740
2193,2021-01000,Contractual,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 1.484.706.176
2194,2021-00618,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 455.111.000
2195,2022-00244,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 1.199.303
2196,2022-00201,Nulidad y Restablecimiento del Derecho,JUZGADO 001 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 0
2197,2022-00104,Nulidad y Restablecimiento del Derecho,JUZGADO 003 ADMINISTRATIVO DE CALI,Administrativo,$ 13.451.655
2198,2022-00243,Acción Popular,JUZGADO 003 ADMINISTRATIVO DE CALI,Administrativo,$ 0
2199,2022-00075,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 2.321.702.604
2200,2022-00287,Ordinario Laboral,JUZGADO 3 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 50.000.000
2201,2022-00217,Nulidad y Restablecimiento del Derecho,JUZGADO 007 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 4.951.700
2202,2022-00182,Acción de Cumplimiento,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 0
2203,2021-00174,Reparacion Directa,JUZGADO 010 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 807.935.607
2204,2022-00096,Reparacion Directa,JUZGADO 013 ADMINISTRATIVO DE CALI,Administrativo,$ 1.316.704.500
2205,2022-00184,Nulidad y Restablecimiento del Derecho,JUZGADO 004 ADMINISTRATIVO ORAL DEL CIRCUITO JUDICIAL DE CALI,Administrativo,$ 4.537.746
2206,2021-00028,Reparacion Directa,JUZGADO 017 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 1.096.029.824
2207,2021-00243,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 5.182.276
2208,2022-00058,Nulidad y Restablecimiento del Derecho,JUZGADO 017 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 208.849.925
2209,2022-00070,Ejecutivo,JUZGADO 017 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 7.833.161
2210,2022-00095,Nulidad y Restablecimiento del Derecho,JUZGADO 017 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 42.785.111
2211,2022-00226,Nulidad y Restablecimiento del Derecho,JUZGADO 005 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 17.736.781
2212,2022-00064,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 6.221.058.472
2213,2022-00160,Reparacion Directa,JUZGADO 015 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 225.357.619
2214,2022-00173,Nulidad y Restablecimiento del Derecho,JUZGADO 013 ADMINISTRATIVO DE CALI,Administrativo,$ 98.175.092
2215,2022-00154,Nulidad y Restablecimiento del Derecho,JUZGADO 013 ADMINISTRATIVO DE CALI,Administrativo,$ 3.280.813
2216,2022-00087,Nulidad y Restablecimiento del Derecho,JUZGADO 003 ADMINISTRATIVO DE CALI,Administrativo,$ 32.517.359.152
2217,2022-00193,Acción Popular,JUZGADO 018 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 0
2218,2018-01172,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 43.409.197
2219,2021-00603,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 539.129.960
2220,2022-00164,Nulidad y Restablecimiento del Derecho,JUZGADO 003 ADMINISTRATIVO DE CALI,Administrativo,$ 388.939.811
2221,2019-00355,Ejecutivo,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 9.994.693
2222,2022-00266,Acción Popular,JUZGADO 010 ADMINISTRATIVO DE ORALIDAD DEL CIRCUITO DE CALI,Administrativo,$ 0
2223,2022-00105,Nulidad y Restablecimiento del Derecho,JUZGADO 005 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 0
2224,2022-00195,Nulidad y Restablecimiento del Derecho,JUZGADO 005 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 136.264.081
2225,2021-00201,Nulidad y Restablecimiento del Derecho,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 689.454
2226,2022-00151,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 55.333.723
2227,2022-00277,Acción Popular,JUZGADO 005 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 0
2228,2022-00286,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 184.122.655
2229,2022-00259,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 216.345.800
2230,2022-00502,Ordinario Laboral,JUZGADO 3 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 50.740.000
2231,2022-00225,Nulidad y Restablecimiento del Derecho,JUZGADO 006 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 11.218.973
2232,2022-00507,Ordinario Laboral,JUZGADO 004 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 17.556.060
2233,2022-00159,Reparacion Directa,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 829.571.418
2234,2023-00025,Fuero Sindical,JUZGADO 005 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 0
2235,2022-00184,Nulidad y Restablecimiento del Derecho,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 3.265.325
2236,2022-00271,Acción Popular,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 0
2237,2022-00097,Nulidad y Restablecimiento del Derecho,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 0
2238,2022-00192,Reparacion Directa,JUZGADO 001 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 82.085.130
2239,2022-00195,Nulidad y Restablecimiento del Derecho,JUZGADO 013 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 136.264.081
2240,2022-00288,Nulidad y Restablecimiento del Derecho,JUZGADO 021 ADMINISTRATIVO DE CALI,Administrativo,$ 67.311.060
2241,2019-00143,Verbal,JUZGADO 005 CIVIL DEL CIRCUITO DE CALI,Civil,$ 1.036.324.800
2242,2022-00533,Ordinario Laboral,JUZGADO 014 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 17.556.060
2243,2022-00070,Nulidad y Restablecimiento del Derecho,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 1.171.626
2244,2022-00259,Nulidad y Restablecimiento del Derecho,JUZGADO 017 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 21.222.269
2245,2022-00224,Acción de Cumplimiento,JUZGADO 019 ADMINISTRATIVO ORAL DE CALI,Administrativo,$ 0
2246,2022-00236,Nulidad y Restablecimiento del Derecho,JUZGADO 004 ADMINISTRATIVO ORAL DEL CIRCUITO JUDICIAL DE CALI,Administrativo,$ 133.955.106
2247,2022-00093,Nulidad y Restablecimiento del Derecho,JUZGADO 008 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 98.907.575
2248,2018-00074,Reparacion Directa,JUZGADO 004 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 787.036.224
2249,2020-00090,Nulidad Simple,JUZGADO 011 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 0
2250,2022-00229,Nulidad y Restablecimiento del Derecho,JUZGADO 005 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 34.706.746
2251,2022-00197,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 418.791.024
2252,2020-00877,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 72.766.092
2253,2022-00272,Nulidad y Restablecimiento del Derecho,JUZGADO 001 ADMINISTRATIVO DE CALI,Administrativo,$ 3.555.970
2254,2022-00297,Nulidad y Restablecimiento del Derecho,JUZGADO 001 ADMINISTRATIVO DE CALI,Administrativo,$ 9.027.181
2255,2022-00306,Acción Popular,JUZGADO 9 ADMINISTRATIVO DE CALI,Administrativo,$ 0
2256,2022-00263,Nulidad y Restablecimiento del Derecho,JUZGADO 16 ADMINISTRATIVO DE CALI,Administrativo,$ 37.905.109
2257,2022-00284,Nulidad y Restablecimiento del Derecho,JUZGADO 006 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 16.835.779
2258,2022-00289,Acción Popular,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 0
2259,2022-00274,Reparacion Directa,JUZGADO 006 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 209.653.328
2260,2023-00002,Acción de Cumplimiento,JUZGADO 019 ADMINISTRATIVO ORAL DE CALI,Administrativo,$ 0
2261,2022-00305,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 6.403.762
2262,2022-00060,Nulidad y Restablecimiento Tributario,JUZGADO 003 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 188.861.472
2263,2022-00202,Reparacion Directa,JUZGADO 007 ADMINISTRATIVO DEL CIRCUITO DE CALI,Administrativo,$ 758.019.968
2264,2022-00256,Reparacion Directa,JUZGADO 017 ADMINISTRATIVO ORAL DEL CIRCUITO,Administrativo,$ 1.127.725.568
2265,2022-00272,Nulidad y Restablecimiento del Derecho,JUZGADO 015 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 94.703.560
2266,2022-00249,Reparacion Directa,JUZGADO 007 ADMINISTRATIVO DE CALI,Administrativo,$ 1.614.089.728
2267,2022-00239,Nulidad y Restablecimiento del Derecho,JUZGADO 007 ADMINISTRATIVO DEL CIRCUITO DE CALI,Administrativo,$ 2.263.634
2268,2022-00246,Reparacion Directa,JUZGADO 016 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 211.884.688
2269,2023-00002,Acción Popular,JUZGADO 003 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 0
2270,2021-00322,Nulidad y Restablecimiento del Derecho,JUZGADO 011 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 9.441.196
2271,2021-00508,Ordinario Laboral,JUZGADO 010 LABORAL DEL CIRCUITO DE DESCONGESTIÓN DE CALI,Laboral,$ 30.172.490
2272,2023-00003,Acción Popular,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 0
2273,2021-00103,Reparacion Directa,JUZGADO 021 CONTENCIOSO ADMINISTRATIVO ORAL DEL CIRCUITO JUDICIAL DE CALI,Administrativo,$ 559.640.000
2274,2021-00102,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 25.795.720
2275,2021-00049,Reparacion Directa,JUZGADO 021 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 109.214.296
2276,2018-00207,Reparacion Directa,TRIBUNAL ADMINISTRATIVO DEL VALLE,Administrativo,$ 1.874.199.558
2277,2022-00292,Acción Popular,JUZGADO 010 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 0
2278,2021-00163,Nulidad y Restablecimiento del Derecho,JUZGADO 013 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 11.546.627
2279,2022-00133,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 6.403.762
2280,2022-00315,Ordinario Laboral,JUZGADO 005 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 17.660.662
2281,2023-00006,Acción Popular,JUZGADO 020 ADMINISTRATIVO MIXTO DEL CIRCUITO DE CALI,Administrativo,$ 0
2282,2022-00033,Ordinario Laboral,JUZGADO 014 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 71.286.544
2283,2022-00189,Reparacion Directa,JUZGADO 005 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 477.790.496
2284,2020-00706,Reparacion Directa,TRIBUNAL ADMINISTRATIVO DEL VALLE,Administrativo,$ 1.432.155.136
2285,2022-00787,Nulidad y Restablecimiento del Derecho,TRIBUNAL ADMINISTRATIVO DEL VALLE,Administrativo,$ 1.925.990.749
2286,2022-00058,Nulidad y Restablecimiento del Derecho,TRIBUNAL ADMINISTRATIVO DEL VALLE,Administrativo,$ 178.763.698
2287,2022-00048,Nulidad y Restablecimiento del Derecho,JUZGADO 019 ADMINISTRATIVO DEL CIRCUITO DE CALI,Administrativo,$ 1.179.747
2288,2022-00095,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 76.529.232
2289,2022-00252,Nulidad y Restablecimiento del Derecho,JUZGADO 005 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 13.521.141
2290,2022-00058,Reparacion Directa,JUZGADO 020 ADMINISTRATIVO MIXTO DEL CIRCUITO DE CALI,Administrativo,$ 530.000.000
